Amount,Country,Offer ID,Tag,Time
$0.09,MA,#4e4513,#aggressive,2018-06-26 16:30:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:30:00
$0.02,KH,#d48908,#aggressive,2018-06-26 16:30:00
$0.17,PL,#7331e3,#aggressive,2018-06-26 16:30:00
$0.50,US,#ea1112,#mainstream,2018-06-26 16:30:00
$0.07,MX,#62a79c,#adult,2018-06-26 16:30:00
$0.12,PH,#33b9fa,#aggressive,2018-06-26 16:30:00
$0.09,MM,#afa97c,#mainstream,2018-06-26 16:30:00
$0.36,JP,#04ddfd,#aggressive,2018-06-26 16:30:00
$0.02,IR,#d48908,#aggressive,2018-06-26 16:30:00
$0.14,JP,#8a5c75,#mainstream,2018-06-26 16:30:00
$0.38,TH,#b10761,#aggressive,2018-06-26 16:30:00
$0.18,ES,#b0b4fe,#aggressive,2018-06-26 16:30:00
$0.25,IT,#fe1126,#mainstream,2018-06-26 16:30:00
$0.30,FR,#3d0f17,#aggressive,2018-06-26 16:30:00
$0.17,BY,#f0c358,#mainstream,2018-06-26 16:30:00
$0.17,BY,#f0c358,#mainstream,2018-06-26 16:30:00
$0.02,LK,#68f7eb,#mainstream,2018-06-26 16:30:00
$0.12,IN,#f61e28,#mainstream,2018-06-26 16:30:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:30:00
$0.05,KH,#ac1297,#aggressive,2018-06-26 16:30:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:30:00
$1.20,DE,#4703cb,#adult,2018-06-26 16:30:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:30:00
$0.20,UA,#50cc3c,#mainstream,2018-06-26 16:30:00
$0.05,KH,#ac1297,#aggressive,2018-06-26 16:30:00
$0.09,TH,#4e4513,#aggressive,2018-06-26 16:30:00
$0.09,MX,#cda378,#aggressive,2018-06-26 16:30:00
$0.06,DZ,#445a75,#aggressive,2018-06-26 16:30:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:30:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:30:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:31:00
$0.86,MA,#b44015,#mainstream,2018-06-26 16:31:00
$0.88,RU,#683cfa,#mainstream,2018-06-26 16:31:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:31:00
$0.06,IN,#0a2701,#aggressive,2018-06-26 16:31:00
$0.06,IN,#fa0225,#aggressive,2018-06-26 16:31:00
$0.06,US,#5fa94d,#mainstream,2018-06-26 16:31:00
$0.09,US,#5fa94d,#mainstream,2018-06-26 16:31:00
$1.08,MA,#9ec2c1,#mainstream,2018-06-26 16:31:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:31:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:31:00
$1.20,MY,#eeaf1e,#aggressive,2018-06-26 16:31:00
$0.03,CL,#4de797,#aggressive_desktop,2018-06-26 16:31:00
$0.02,TH,#5cf4dc,#aggressive_desktop,2018-06-26 16:31:00
$0.06,DZ,#7b0e3b,#aggressive,2018-06-26 16:31:00
$0.14,JP,#8a5c75,#mainstream,2018-06-26 16:31:00
$0.06,TH,#0d5d26,#adult,2018-06-26 16:31:00
$0.16,KR,#d82266,#mainstream,2018-06-26 16:31:00
$0.04,RU,#b3712e,#adult,2018-06-26 16:31:00
$0.01,IT,#68f7eb,#mainstream,2018-06-26 16:31:00
$0.14,NG,#797174,#adult,2018-06-26 16:31:00
$0.08,PK,#49cf3c,#aggressive_desktop,2018-06-26 16:31:00
$0.12,ID,#ee795c,#aggressive,2018-06-26 16:31:00
$0.11,PE,#62a79c,#adult,2018-06-26 16:31:00
$0.22,FR,#8e56a2,#aggressive,2018-06-26 16:31:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:31:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:31:00
$0.06,GB,#5fa94d,#mainstream,2018-06-26 16:31:00
$0.62,MA,#f6ee5d,#mainstream,2018-06-26 16:31:00
$0.06,US,#5fa94d,#mainstream,2018-06-26 16:31:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:31:00
$0.24,US,#5fa94d,#mainstream,2018-06-26 16:31:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:31:00
$0.04,TH,#0d5d26,#adult,2018-06-26 16:31:00
$0.08,TH,#0d5d26,#adult,2018-06-26 16:31:00
