Amount,Country,Offer ID,Tag,Time
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$2.53,RS,#afcab7,#aggressive,"Jun 26th, 14:40"
$0.06,KH,#0dc6ea,#aggressive,"Jun 26th, 14:40"
$0.06,PK,#445a75,#aggressive,"Jun 26th, 14:40"
$0.04,AF,#34b05e,#adult,"Jun 26th, 14:40"
$0.06,IN,#e8adc0,#aggressive,"Jun 26th, 14:40"
$1.50,IT,#4ff6af,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.06,IN,#fa0225,#aggressive,"Jun 26th, 14:40"
$0.60,IQ,#948e05,#mainstream,"Jun 26th, 14:40"
$0.06,PK,#7b0e3b,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$1.36,RS,#9ec2c1,#mainstream,"Jun 26th, 14:40"
$0.04,IN,#a4c589,#mainstream,"Jun 26th, 14:40"
$1.18,BE,#4a2062,#mainstream,"Jun 26th, 14:40"
$0.09,CM,#028c31,#mainstream,"Jun 26th, 14:40"
$0.24,TW,#9c570e,#mainstream,"Jun 26th, 14:40"
$0.24,TW,#9c570e,#mainstream,"Jun 26th, 14:40"
$0.24,MM,#02be79,#mainstream,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.36,JP,#04ddfd,#aggressive,"Jun 26th, 14:40"
$2.16,US,#482626,#mainstream,"Jun 26th, 14:40"
$1.28,GB,#66707a,#mainstream,"Jun 26th, 14:40"
$0.20,BY,#68f7eb,#mainstream,"Jun 26th, 14:40"
$0.16,IT,#a56a2a,#mainstream,"Jun 26th, 14:40"
$0.20,TH,#9bdabd,#adult,"Jun 26th, 14:40"
$0.32,CH,#a150ca,#aggressive,"Jun 26th, 14:40"
$0.27,TH,#d48908,#aggressive,"Jun 26th, 14:40"
$0.79,FR,#69c873,#mainstream_desktop,"Jun 26th, 14:40"
$0.72,IT,#945963,#mainstream,"Jun 26th, 14:40"
$0.23,ES,#fddaa5,#aggressive,"Jun 26th, 14:40"
$0.12,IT,#6ecbc3,#mainstream,"Jun 26th, 14:40"
$0.72,IT,#945963,#mainstream,"Jun 26th, 14:40"
$0.08,TH,#0d5d26,#adult,"Jun 26th, 14:40"
$0.12,ID,#33b9fa,#aggressive,"Jun 26th, 14:40"
$0.09,MX,#4e4513,#aggressive,"Jun 26th, 14:40"
$0.14,ID,#d48908,#aggressive,"Jun 26th, 14:40"
$0.34,HK,#7e6986,#mainstream,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.14,US,#746d92,#adult,"Jun 26th, 14:40"
$0.06,IN,#e8adc0,#aggressive,"Jun 26th, 14:40"
$0.17,PL,#7331e3,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.06,UA,#e4e6a2,#adult,"Jun 26th, 14:40"
$2.16,US,#aaaac2,#mainstream,"Jun 26th, 14:40"
$0.12,PH,#33b9fa,#aggressive,"Jun 26th, 14:40"
$0.06,IN,#e8adc0,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.12,PH,#cf1dbd,#aggressive,"Jun 26th, 14:40"
$0.06,IN,#e8adc0,#aggressive,"Jun 26th, 14:40"
$0.12,PH,#33b9fa,#aggressive,"Jun 26th, 14:40"
$0.06,UA,#e4e6a2,#adult,"Jun 26th, 14:40"
$0.32,IT,#68f7eb,#mainstream,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.06,UA,#e4e6a2,#adult,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:40"
$0.12,IT,#6ecbc3,#mainstream,"Jun 26th, 14:41"
$0.09,MX,#4e4513,#aggressive,"Jun 26th, 14:41"
$0.12,IT,#6ecbc3,#mainstream,"Jun 26th, 14:41"
$0.27,EG,#a7e549,#mainstream,"Jun 26th, 14:41"
$0.72,IT,#945963,#mainstream,"Jun 26th, 14:41"
$0.08,IN,#300565,#adult,"Jun 26th, 14:41"
$0.09,MX,#f86f5a,#aggressive,"Jun 26th, 14:41"
$0.45,TN,#6f7f35,#mainstream,"Jun 26th, 14:41"
$0.03,PK,#68f7eb,#mainstream,"Jun 26th, 14:41"
$0.67,US,#42b3de,#aggressive,"Jun 26th, 14:41"
$0.18,TH,#c05151,#mainstream,"Jun 26th, 14:41"
$0.18,TH,#c05151,#mainstream,"Jun 26th, 14:41"
$0.04,PL,#300565,#adult,"Jun 26th, 14:41"
$0.22,LK,#25ffd7,#adult,"Jun 26th, 14:41"
$0.13,BR,#62a79c,#adult,"Jun 26th, 14:41"
$0.06,SN,#b10761,#aggressive,"Jun 26th, 14:41"
$0.36,GB,#61534a,#aggressive,"Jun 26th, 14:41"
$2.16,US,#482626,#mainstream,"Jun 26th, 14:41"
$0.09,SK,#88e506,#aggressive,"Jun 26th, 14:41"
$0.36,HK,#128e17,#aggressive,"Jun 26th, 14:41"
$0.36,JP,#2230c4,#aggressive,"Jun 26th, 14:41"
$0.36,JP,#2230c4,#aggressive,"Jun 26th, 14:41"
$0.23,ES,#d2a17e,#aggressive,"Jun 26th, 14:41"
$0.06,IN,#a96580,#aggressive,"Jun 26th, 14:41"
$0.12,BR,#8a5c75,#mainstream,"Jun 26th, 14:41"
$0.18,FR,#746d92,#adult,"Jun 26th, 14:41"
$0.33,TN,#eab3d9,#aggressive,"Jun 26th, 14:41"
$0.06,IN,#e8adc0,#aggressive,"Jun 26th, 14:41"
$0.40,JP,#4277bf,#aggressive,"Jun 26th, 14:41"
$0.06,CO,#cde9a4,#aggressive,"Jun 26th, 14:41"
$0.06,ID,#eaf533,#mainstream,"Jun 26th, 14:41"
$0.12,PH,#33b9fa,#aggressive,"Jun 26th, 14:41"
$0.96,PY,#3bab9c,#mainstream,"Jun 26th, 14:41"
$0.06,PK,#7b0e3b,#aggressive,"Jun 26th, 14:41"
$0.16,LK,#d58656,#adult,"Jun 26th, 14:41"
$0.09,ID,#cde9a4,#aggressive,"Jun 26th, 14:41"
$2.16,US,#482626,#mainstream,"Jun 26th, 14:41"
$1.36,GB,#0d1df1,#mainstream,"Jun 26th, 14:41"
$0.06,IN,#0a2701,#aggressive,"Jun 26th, 14:41"
$0.24,MM,#02be79,#mainstream,"Jun 26th, 14:41"
$3.00,ZA,#fecf73,#aggressive,"Jun 26th, 14:41"
$0.12,IT,#6ecbc3,#mainstream,"Jun 26th, 14:41"
$0.17,BY,#f0c358,#mainstream,"Jun 26th, 14:41"
$0.08,SD,#b10761,#aggressive,"Jun 26th, 14:41"
$0.16,TH,#af6212,#adult,"Jun 26th, 14:41"
$0.02,IN,#ade2e1,#mainstream_desktop,"Jun 26th, 14:41"
$0.15,AR,#65906f,#adult,"Jun 26th, 14:41"
$0.02,PL,#498f2a,#adult,"Jun 26th, 14:41"
$0.09,TH,#4e4513,#aggressive,"Jun 26th, 14:41"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:41"
$0.06,PE,#23a677,#aggressive,"Jun 26th, 14:41"
$0.32,IR,#68f7eb,#mainstream,"Jun 26th, 14:41"
$2.16,US,#aaaac2,#mainstream,"Jun 26th, 14:41"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:41"
$0.12,IT,#6ecbc3,#mainstream,"Jun 26th, 14:41"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:41"
$0.36,JP,#2230c4,#aggressive,"Jun 26th, 14:41"
$0.40,JP,#4277bf,#aggressive,"Jun 26th, 14:41"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:41"
$0.06,IN,#86d8fb,#aggressive,"Jun 26th, 14:41"
$0.24,IT,#46ef7c,#mainstream,"Jun 26th, 14:41"
$0.32,IR,#68f7eb,#mainstream,"Jun 26th, 14:41"
$2.16,US,#aaaac2,#mainstream,"Jun 26th, 14:41"
$0.16,IT,#4d57a9,#mainstream,"Jun 26th, 14:41"
$0.12,PH,#33b9fa,#aggressive,"Jun 26th, 14:41"
$2.00,IT,#e4c87d,#mainstream,"Jun 26th, 14:41"
$0.05,RO,#b04d73,#mainstream,"Jun 26th, 14:41"
$2.42,IT,#68f7eb,#mainstream,"Jun 26th, 14:41"
$2.80,IT,#f3e144,#mainstream,"Jun 26th, 14:41"
$0.09,MM,#afa97c,#mainstream,"Jun 26th, 14:41"
$0.13,IR,#a4c589,#mainstream,"Jun 26th, 14:41"
$0.72,IT,#945963,#mainstream,"Jun 26th, 14:41"
$0.12,PH,#cf1dbd,#aggressive,"Jun 26th, 14:41"
$0.19,KZ,#c46e7c,#aggressive,"Jun 26th, 14:41"
$0.06,IN,#86d8fb,#aggressive,"Jun 26th, 14:42"
$0.36,JP,#2230c4,#aggressive,"Jun 26th, 14:42"
$0.72,IT,#8901eb,#adult,"Jun 26th, 14:42"
$0.06,ID,#ef71fc,#mainstream,"Jun 26th, 14:42"
$0.09,TR,#8f5cba,#aggressive,"Jun 26th, 14:42"
$0.24,MM,#02be79,#mainstream,"Jun 26th, 14:42"
$0.26,PH,#7d149d,#mainstream,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.08,BY,#f0c358,#mainstream,"Jun 26th, 14:42"
$0.04,IN,#49cf3c,#aggressive_desktop,"Jun 26th, 14:42"
$1.54,IT,#a8cab4,#aggressive,"Jun 26th, 14:42"
$0.36,JP,#2230c4,#aggressive,"Jun 26th, 14:42"
$0.25,IT,#fe1126,#mainstream,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.27,EG,#aaeb01,#mainstream,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.22,AZ,#da04ec,#mainstream,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.06,KH,#445a75,#aggressive,"Jun 26th, 14:42"
$0.16,VN,#dd4f7a,#aggressive,"Jun 26th, 14:42"
$0.16,VN,#b21fc9,#aggressive,"Jun 26th, 14:42"
$0.18,MM,#68f7eb,#mainstream,"Jun 26th, 14:42"
$0.14,MM,#68f7eb,#mainstream,"Jun 26th, 14:42"
$0.06,IN,#fa0225,#aggressive,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.06,NG,#59aa56,#mainstream,"Jun 26th, 14:42"
$1.54,IT,#a8cab4,#aggressive,"Jun 26th, 14:42"
$0.56,IT,#9f185e,#aggressive,"Jun 26th, 14:42"
$0.52,KE,#acbfb9,#mainstream,"Jun 26th, 14:42"
$0.36,JP,#04ddfd,#aggressive,"Jun 26th, 14:42"
